職缺,公司名稱,公司地址,學歷,科系,薪資,工作內容,擅長工具,其他條件
後端工程師(主任/工程師)_高雄_20690,緯創資通股份有限公司,高雄市苓雅區 ,大學,資訊管理學類、電算機相關,薪資面議(經常性薪資達4萬元含以上) ,"
                        1.熟悉RESTful API與MVC實作經驗，具備Java SE/ Java EE Web Application or NodeJS開發經驗2.熟Koa. Express, Spring, ORM(JPA, Hibernate) 等 Frameworks3.具備軟體工程相關技術(Object-oriented ,Design Patterns, Micro Service, UML)4.熟悉資料庫的設計與使用，包括NoSQL或RMDBS 關聯式資料庫5.熟悉git或其他原始碼版本控制6.具備Continuous integration/Continuous Deployment與Agile軟體開發流程的經驗和方法尤佳7.具備container concept or Cloud computing(AWS/GCP/Azure)的經驗和方法尤佳8.具備Linux開發環境與佈建設定的經驗和方法尤佳9.具備撰寫單元測試程式、end-to-end test的經驗和方法尤佳10.具備TCP/IP , HTTPS/HTTP 等Network 架構設計經驗和方法尤佳11.熟悉Kafka, Hadoop尤佳
                        ", ,"
                        1.對程式開發、系統設計有熱情，對自己的未來有期待。2.我們不侷限於上述程式技能，我們鼓勵並協助大家有多樣性的技能和職務歷練。3.看到問題會想辦解決，不設限自己的工作範圍。4.想要成為團隊中的神隊友；或許現在還不是神隊友沒關係，但你努力往這個方向前進中。5.喜歡學習而且不將學習到的新知識分享給大家會很難過、痛苦。6.希望你是個心智上的成年人，能對自律並對結果負責。7.具冒險精神，我們勇於嘗試各種提案與建議，只要覺得對我們有幫助。8.嘗試與工作中所有合作夥伴及客戶積極溝通即使過程很辛苦或令人感到挫折。
                        "
後端工程師(Edge AI平台開發)_汐止_20019,緯創資通股份有限公司,新北市汐止區 ,大學,資訊工程學類、電算機相關,薪資面議(經常性薪資達4萬元含以上) ,"
                        【工作內容】1. 為產品團隊設計、建置與佈署可擴充的軟體平台2. 與前端團隊溝通協調以實作後端解決方案3. 分析、審查並修改軟體以增進運行效率或滿足新需求，並執行軟體測試、除錯、維護以及更新【技能需求】1. 4年以上開發經驗2. 具備後端JavaScript(Node.js)與RESTful API建置經驗3. 具備資料庫如Postgrsql與MongoDB經驗4. 計算機科學或相關技術學科的學士或碩士學位或同等的實務經驗。
                        ",網頁技術：Java Script,"
                        1. 具備集群環境與容器相關經驗 (Kubernetes與Docker)2. 對於工作具備熱情，並有單元測試與敏捷開發之經驗3. 採用CI/CD開發流程4. 4年以上開發經驗
                        "
人工智慧應用後端工程師/專員 - J1773,廣達電腦股份有限公司,桃園市龜山區 ,大學,醫藥工程學類、電算機相關、資訊管理學類,薪資面議(經常性薪資達4萬元含以上) ,"
                        1.廣達人工智慧實驗室相關web專案後端開發。2.具備解決問題的能力，及良好團隊合作與溝通能力。3.工作待遇/職稱：將依學經歷進行敘薪
                        ",TOEIC,"
                        1.需具備3年以上後端開發經驗。2.使用python開發RESTful API，Flask尤佳。 3.熟悉SQL語法 ，MySQL尤佳。 4.Linux和Docker相關指令、具有Microservice觀念。 5.了解版本控制Git及WEB開發流程。Plus:CI / CD、Kubernetes、PyTorch
                        "
Web Application 後端工程師(Node.js)_台南_20226,緯創資通股份有限公司,台南市歸仁區 ,大學以上,資訊工程學類、資訊管理學類、電機電子工程相關,薪資面議(經常性薪資達4萬元含以上) ,"
                        1. 參與 Scrum team，主動積極與專案團隊協同實作並完成專案範疇與需求 2. RESTful API 設計及實作，並且進行新技術研究和分享 3. 基本的需求分析與問題解決能力
                        ", ,"
                        專業能力  - 熟悉RESTful API與MVC實作經驗，具備Node.js開發經驗尤佳 - 熟悉Koa、 Express等任一 Frameworks尤佳 - 具備軟體工程相關技術(Object-oriented ,Design Patterns, Micro Service)  - 熟悉資料庫的設計與使用，可依照需求設計適當的Database Schema - 熟悉 Git 並理解 Git Flow 或 GitHub Flow或GitLab Flow - 具備撰寫單元測試程式、end-to-end test的經驗和方法尤佳  語文要求  -TOEIC 450分以上  加分條件 - 具備CI/CD DevOps與Agile軟體開發流程的經驗和方法尤佳  - 具備Linux開發環境與佈建設定的經驗和方法尤佳  - 有線上個人作品集，能呈現出過往經歷和技術能力尤佳
                        "
Web Application 資深後端工程師(Node.js)_台南_20226,緯創資通股份有限公司,台南市歸仁區 ,大學以上,資訊工程學類、資訊管理學類、電機電子工程相關,薪資面議(經常性薪資達4萬元含以上) ,"
                        1. 參與 Scrum team，主動積極與專案團隊協同實作並完成專案範疇與需求 2. RESTful API 設計及實作，並且進行新技術研究和分享 3. 需負責產品架構設計並 Lead 相關專案的執行
                        ", ,"
                        專業能力  - 熟悉RESTful API與MVC實作經驗，具備Node.js開發經驗尤佳 - 熟悉Koa、 Express等任一 Frameworks尤佳 - 具備軟體工程相關技術(Object-oriented ,Design Patterns, Micro Service)  - 熟悉資料庫的設計與使用，包括但不限於NoSQL或RDBMS 關聯式資料庫與In-Memory DB  - 熟悉 Git 並理解 Git Flow 或 GitHub Flow或GitLab Flow - 具備CI/CD DevOps與Agile軟體開發流程的經驗和方法尤佳  - 具備Linux開發環境與佈建設定的經驗和方法尤佳  - 具備撰寫單元測試程式、end-to-end test的經驗和方法尤佳  - 具備TCP/IP , HTTPS/HTTP 等Network 架構設計經驗和方法尤佳  語文要求  -TOEIC 450分以上  加分條件  - 熟悉Kafka, Hadoop尤佳。  - 具備持續重構，維護軟體品質能力。  - 有線上個人作品集，能呈現出過往經歷和技術能力尤佳
                        "
Web Application 後端工程師(Java)_台南_20226,緯創資通股份有限公司,台南市歸仁區 ,大學以上,資訊工程學類、資訊管理學類、電機電子工程相關,薪資面議(經常性薪資達4萬元含以上) ,"
                        1. 參與 Scrum team，主動積極與專案團隊協同實作並完成專案範疇與需求 2. RESTful API 設計及實作，並且進行新技術研究和分享 3. 基本的需求分析與問題解決能力
                        ", ,"
                        專業能力  - 熟悉RESTful API與MVC實作經驗，具備Java SE/ Java EE Web Application開發經驗尤佳 - 熟悉Spring, ORM(JPA, Hibernate) 等任一 Frameworks尤佳 - 具備軟體工程相關技術(Object-oriented ,Design Patterns, Micro Service)  - 熟悉資料庫的設計與使用，可依照需求設計適當的Database Schema - 熟悉 Git 並理解 Git Flow 或 GitHub Flow或GitLab Flow - 具備撰寫單元測試程式、end-to-end test的經驗和方法尤佳  語文要求  -TOEIC 450分以上  加分條件 - 具備CI/CD DevOps與Agile軟體開發流程的經驗和方法尤佳  - 具備Linux開發環境與佈建設定的經驗和方法尤佳  - 有線上個人作品集，能呈現出過往經歷和技術能力尤佳
                        "
總部數位-後端工程師(台北內湖區),喬山健康科技股份有限公司,台北市內湖區 ,大學以上,不拘,薪資面議(經常性薪資達4萬元含以上) ,"
                        1. Backend system development and design.2. Database schema design and maintenance.3. Familiar with source code control and CI/CD processes4. Familiar with AWS in EC2, S3, ELB, RDS, WAF, Redis...etc.5. Familiar with IOT service and RESTful API.=====================================================健身產業因疫情出現結構性變化，家用產品搭配線上課程需求驟增，喬山大步跨向數位時尚健身風潮。詳情請參考官方網站：https://www.johnsonfitnesslive.com
                        ",伺服器及管理：AWS,"
                        1. 3+ years of backend development experience.2. Like to learn new software and backend technology.3. Familiar with system architecture design.4. Familiar with Docker or K8S.※具網路工作經驗，優先錄用。
                        "
Web Application 資深後端工程師(Java)_台南_20226,緯創資通股份有限公司,台南市歸仁區 ,大學以上,資訊工程學類、資訊管理學類、電機電子工程相關,薪資面議(經常性薪資達4萬元含以上) ,"
                        1. 參與 Scrum team，主動積極與專案團隊協同實作並完成專案範疇與需求 2. RESTful API 設計及實作，並且進行新技術研究和分享 3. 需負責產品架構設計並 Lead 相關專案的執行
                        ", ,"
                        專業能力  - 熟悉RESTful API與MVC實作經驗，具備Java SE/ Java EE Web Application開發經驗尤佳 - 熟悉Spring, ORM(JPA, Hibernate) 等任一 Frameworks尤佳 - 具備軟體工程相關技術(Object-oriented ,Design Patterns, Micro Service)  - 熟悉資料庫的設計與使用，包括但不限於NoSQL或RDBMS 關聯式資料庫與In-Memory DB  - 熟悉 Git 並理解 Git Flow 或 GitHub Flow或GitLab Flow - 具備CI/CD DevOps與Agile軟體開發流程的經驗和方法尤佳  - 具備Linux開發環境與佈建設定的經驗和方法尤佳  - 具備撰寫單元測試程式、end-to-end test的經驗和方法尤佳  - 具備TCP/IP , HTTPS/HTTP 等Network 架構設計經驗和方法尤佳 語文要求  -TOEIC 450分以上  加分條件  - 熟悉Kafka, Hadoop尤佳。  - 具備持續重構，維護軟體品質能力。  - 有線上個人作品集，能呈現出過往經歷和技術能力尤佳
                        "
台北 總公司 全職  後端工程師Backend Engineer,(家樂福)家福股份有限公司,台北市北投區 ,大學以上,資訊工程學類、資訊管理學類、數理統計學類,"月薪　50,000元以上 ","
                        1. Analyze, design, implement, test and deploy new product features/enhancements by coworking with product managers, designers and app developers.2. Perform in-depth design reviews and code reviews3. Identify and address/improve service stability and performance issues.4. Setup, manage and monitor production services running on GCP.5. Conduct early feasibility studies as well as creating product prototypes6. Work efficiently/independently and keep communicating with colleagues and supervisors7. Health check api status from APIGee.
", ,"
                        - 3+ years of experiences developing server-side software product- Experiences working on commercial services with 70k+ daily users- Experiences designing service architecture with high availability/scalability- Familiar with major features of GCP with hands-on experiences- 擅長工具：至少需擅長三~四項1. PHP with Laravel framework2. Github/GitLab3. Redis4. GCP 5. Docker6. Exp in APIGee-Edge apis7. kubernetes (k8s)8. APP Dynamic (APM)
                        "
軟體工程師（後端）,台灣仕誠國際專利商標事務所,台北市信義區 ,專科以上,數學學類、應用數學學類、其他數學及統計學類,"月薪　35,000元以上 ","
                        【職務說明】1. 程式撰寫/資料庫使用：Python, PHP , MySQL 2. 使用Linux(Ubuntu)系統【技能需求】- 熟悉Python或PHP- 熟悉MySQL-  Linux系統操作與安裝- 良好的程式碼寫作習慣、個性穩定細心、邏輯性佳及溝通能力佳，重團隊合作與服務精神- 面對開發問題，具獨立思考與作業的能力，能夠追蹤程式碼並找出問題點【加分條件】- 熟悉 python 與 Django- 系統日誌查看與追蹤- MySQL、Mongodb 資料庫管理資料維護與效能調校- 熟悉 Git 版本控制
",程式設計：PHP、Python資料庫：MySQL, 
後端開發工程師,原創網路服務股份有限公司,台北市大同區 ,高中以上,不拘,"月薪　36,000 至 100,000元 ","
                        工作內容： 1.使用 C#.NET 開發應用程式 2.配合系統測試及版本控管 3.可使用SQL語法存取MS SQL資料庫 4.具備 Web 系統開發相關經驗尤佳(C#、HTML、JQuery、Javascript)   須具備的特質: 1.遭遇問題能主動尋找協助資源 2.願意溝通與學習
                        ",程式設計：ASP.NET、JAVA、C#資料庫：MS SQL網頁技術：Java Script,"
                        休假制度：週休二日、固定休六日
                        "
後端工程師助理,新新管理顧問有限公司,南投縣草屯鎮 , , ,"月薪　30,000 至 45,000元 ","
                        【招募條件】- 熟悉 MVC 觀念 。- 具備 C# 語言經驗。- 具備系統設計相關經驗。- 具備RESTFul或與客戶後端API相關經驗。- SQL資料庫基本操作。【加分條件】- 其他程式語言開發經驗。- 有 git 版控經驗。- 有socket開發經驗。- 具備 CI / CD 相關知識。- 區塊鏈資訊技術。
",擅長工具1.Git2.ASP.NET3.MS SQL, 
軟體高級工程師（後端）,創譽科技有限公司,台北市大安區 ,大學,資訊管理學類、資訊工程學類、電算機相關,薪資面議(經常性薪資達4萬元含以上) ,"
                        1. 熟悉RESTful API與MVC實作經驗，具備NodeJS Web Application開發經驗2. 熟Koa, Express 等 Frameworks3. 具備軟體工程相關技術(Object-oriented ,Design Patterns, Micro Service, UML)4. 熟悉資料庫的設計與使用，包括NoSQL或RMDBS 關聯式資料庫5. 熟悉git或其他原始碼版本控制6. 具備Continuous integration/Continuous Deployment與Agile軟體開發流程的經驗和方法尤佳7. 具備container concept or Cloud computing(AWS/GCP/Azure)的經驗和方法尤佳8. 具備Linux開發環境與佈建設定的經驗和方法尤佳9. 具備撰寫單元測試程式、end-to-end test的經驗和方法尤佳10. 具備TCP/IP , HTTPS/HTTP 等Network 架構設計經驗和方法尤佳11. 熟悉Kafka, Hadoop尤佳
                        ", ,"
                        1. 對程式開發、系統設計有熱情，對自己的未來有期待。2. 我們不侷限於上述程式技能，我們鼓勵並協助大家有多樣性的技能和職務歷練。3. 看到問題會想辦法解決，不設限自己的工作範圍。4. 想要成為團隊中的神隊友；或許現在還不是神隊友沒關係，但你努力往這個方向前進中。5. 喜歡學習而且不將學習到的新知識分享給大家會很難過、痛苦。6. 希望你是個心智上的成年人，能對自律並對結果負責。7. 具冒險精神，我們勇於嘗試各種提案與建議，只要覺得對我們有幫助。8. 嘗試與工作中所有合作夥伴及客戶積極溝通即使過程很辛苦或令人感到挫折。
                        "
後端nodejs工程師(主任/工程師)_汐止_20832,緯創資通股份有限公司,新北市汐止區 ,專科以上,不拘,"月薪　50,000 至 70,000元 ","
                        軟體高級工程師（後端） 1、 具備上述職務說明三年以上的經驗。 2、 具備網站開發、部署經驗優先錄取。 4、 熟悉 MVC 架構 5、 熟悉 Node.js 架構 6、 略懂React.js 架構 7、 熟悉資料庫概念，懂 MySQL 操作。 8、 略懂SSH操作方式，以及 Linux 指令。
                        ",程式設計：jQuery作業系統：LINUX資料庫：MySQL網頁技術：Java Script伺服器及管理：AWS程式設計：Github網頁技術：ReactJS,"
                        熟識Typescript及microservice架構
                        "
C0284 後端開發工程師/主管(外派),仁寶電腦工業股份有限公司,台北市內湖區 ,大學,工業及機械相關、電機電子工程相關,薪資面議(經常性薪資達4萬元含以上) ,"
                        1. 理解MES系統轉型流程，帶領團隊進行系統分析、設計、開發、維護以及測試2. 開發及維護穩定、可信賴的及經過良好測試的應用系統3. 配合生產線進行系統更新級維護，追蹤產品功能修改進度4. 對數據庫進行管理，負責數據庫運維及監控5. 負責MySQL數據庫架構設計與部署6. 跨組別團隊合作，對內部單位溝通協調
                        ", ,"
                        1. 熟悉Node.js2. 熟悉MySQL3. 熟悉Git4. 熟悉生產製造相關系統（例如：MES）佳
                        "
