職缺,公司名稱,公司地址,學歷,科系,薪資,工作內容,擅長工具,其他條件
資深Java後端工程師 (TOC),城邦文化事業股份有限公司,台北市中山區 ,專科以上,不拘,薪資面議(經常性薪資達4萬元含以上) ,"
                        1. 使用 Java 進行系統後端的API及相關功能開發維護2. 與APP工程師、前端工程師合作開發3. 系統的品質保證及問題排除4. 跨團隊合作開發5. Restful API串接6. 文件撰寫7. Test Case/ Unit Test 撰寫(M)8. 其他交辦事項加分條件1. 有大流量大併發經驗2. 了解使用Nginx進行反向代理及Load Balance, High Availability3. CI/CD使用經驗(TeamCity, Jenkins)4. 程式重構經驗
                        ",程式設計：JAVA、Spring,"
                        1. Spring Boot, Spring MVC, Spring Security 使用經驗(Must)2 Hibernate/EBean/JPA, Log4j, Swagger, Maven 使用經驗(Must)3. Firebase, Postman 使用經驗4. DB: Any rational database, Redis 使用經驗(Must)5. Version Control : Git/Git hub/GGit lab(Must) 6. ToolsTrello, Hotjar, GA, GTM, Line API, Slack7. Web Server : Nginx/Apache/Tomcat(Must)8. Cloud : GCP/AWS9. Linux 基本操作(Must)10. 網頁技術 : JSP,AngularJs,JQuery,Bootstrap,Node.js, React,Redux, Redis, WebPack(加分)
"
Web Application 後端工程師(Node.js)_台南_21433,緯創資通股份有限公司,台南市歸仁區 ,大學以上,資訊工程學類、資訊管理學類、電機電子工程相關,薪資面議(經常性薪資達4萬元含以上) ,"
                        1. 參與 Scrum team，主動積極與專案團隊協同實作並完成專案範疇與需求 2. RESTful API 設計及實作，並且進行新技術研究和分享 3. 基本的需求分析與問題解決能力
                        ", ,"
                        專業能力  - 熟悉RESTful API與MVC實作經驗，具備Node.js開發經驗尤佳 - 熟悉Koa、 Express等任一 Frameworks尤佳 - 具備軟體工程相關技術(Object-oriented ,Design Patterns, Micro Service)  - 熟悉資料庫的設計與使用，可依照需求設計適當的Database Schema - 熟悉 Git 並理解 Git Flow 或 GitHub Flow或GitLab Flow - 具備撰寫單元測試程式、end-to-end test的經驗和方法尤佳  語文要求  -TOEIC 450分以上  加分條件 - 具備CI/CD DevOps與Agile軟體開發流程的經驗和方法尤佳  - 具備Linux開發環境與佈建設定的經驗和方法尤佳  - 有線上個人作品集，能呈現出過往經歷和技術能力尤佳
                        "
Web Application 後端工程師(Java)_台南_21433,緯創資通股份有限公司,台南市歸仁區 ,大學以上,資訊工程學類、資訊管理學類、電機電子工程相關,薪資面議(經常性薪資達4萬元含以上) ,"
                        1. 參與 Scrum team，主動積極與專案團隊協同實作並完成專案範疇與需求 2. RESTful API 設計及實作，並且進行新技術研究和分享 3. 基本的需求分析與問題解決能力
                        ", ,"
                        專業能力  - 熟悉RESTful API與MVC實作經驗，具備Java SE/ Java EE Web Application開發經驗尤佳 - 熟悉Spring, ORM(JPA, Hibernate) 等任一 Frameworks尤佳 - 具備軟體工程相關技術(Object-oriented ,Design Patterns, Micro Service)  - 熟悉資料庫的設計與使用，可依照需求設計適當的Database Schema - 熟悉 Git 並理解 Git Flow 或 GitHub Flow或GitLab Flow - 具備撰寫單元測試程式、end-to-end test的經驗和方法尤佳  語文要求  -TOEIC 450分以上  加分條件 - 具備CI/CD DevOps與Agile軟體開發流程的經驗和方法尤佳  - 具備Linux開發環境與佈建設定的經驗和方法尤佳  - 有線上個人作品集，能呈現出過往經歷和技術能力尤佳
                        "
後端工程師(Node.js)_高雄_21059,緯創資通股份有限公司,高雄市苓雅區 ,大學以上,資訊工程學類、資訊管理學類、電機電子工程相關,薪資面議(經常性薪資達4萬元含以上) ,"
                        1. 設計、開發、測試、部署後端服務及API (如: 智慧採購平台...)2. 建置高可靠性的後端架構3. 參與Code Review以維持團隊程式碼品質4. 持續改進軟體開發流程
                        ", ,"
                        必要條件:1. 熟悉使用NodeJS開發API。2. 熟悉使用Docker部署。3. 熟悉使用任一關連式資料庫。(例如: mySQL, postgreSQL)4. 熟悉使用Git版本控管。5. 三年以上相關工作經驗加分條件:1. 有Kubernetes相關經驗。2. 有CI/CD和DevOps相關經驗。3. 有分散式系統架構或微服務架構相關經驗。4. 有雲端架構相關經驗。(例如: Azure)
                        "
後端工程師(主任/工程師)_高雄_20690,緯創資通股份有限公司,高雄市苓雅區 ,大學,資訊管理學類、電算機相關,薪資面議(經常性薪資達4萬元含以上) ,"
                        1.熟悉RESTful API與MVC實作經驗，具備Java SE/ Java EE Web Application or NodeJS開發經驗2.熟Koa. Express, Spring, ORM(JPA, Hibernate) 等 Frameworks3.具備軟體工程相關技術(Object-oriented ,Design Patterns, Micro Service, UML)4.熟悉資料庫的設計與使用，包括NoSQL或RMDBS 關聯式資料庫5.熟悉git或其他原始碼版本控制6.具備Continuous integration/Continuous Deployment與Agile軟體開發流程的經驗和方法尤佳7.具備container concept or Cloud computing(AWS/GCP/Azure)的經驗和方法尤佳8.具備Linux開發環境與佈建設定的經驗和方法尤佳9.具備撰寫單元測試程式、end-to-end test的經驗和方法尤佳10.具備TCP/IP , HTTPS/HTTP 等Network 架構設計經驗和方法尤佳11.熟悉Kafka, Hadoop尤佳
                        ", ,"
                        1.對程式開發、系統設計有熱情，對自己的未來有期待。2.我們不侷限於上述程式技能，我們鼓勵並協助大家有多樣性的技能和職務歷練。3.看到問題會想辦解決，不設限自己的工作範圍。4.想要成為團隊中的神隊友；或許現在還不是神隊友沒關係，但你努力往這個方向前進中。5.喜歡學習而且不將學習到的新知識分享給大家會很難過、痛苦。6.希望你是個心智上的成年人，能對自律並對結果負責。7.具冒險精神，我們勇於嘗試各種提案與建議，只要覺得對我們有幫助。8.嘗試與工作中所有合作夥伴及客戶積極溝通即使過程很辛苦或令人感到挫折。
                        "
後端工程師(Edge AI平台開發)_汐止_20019,緯創資通股份有限公司,新北市汐止區 ,大學,資訊工程學類、電算機相關,薪資面議(經常性薪資達4萬元含以上) ,"
                        【工作內容】1. 為產品團隊設計、建置與佈署可擴充的軟體平台2. 與前端團隊溝通協調以實作後端解決方案3. 分析、審查並修改軟體以增進運行效率或滿足新需求，並執行軟體測試、除錯、維護以及更新【技能需求】1. 4年以上開發經驗2. 具備後端JavaScript(Node.js)與RESTful API建置經驗3. 具備資料庫如Postgrsql與MongoDB經驗4. 計算機科學或相關技術學科的學士或碩士學位或同等的實務經驗。
                        ",網頁技術：Java Script,"
                        1. 具備集群環境與容器相關經驗 (Kubernetes與Docker)2. 對於工作具備熱情，並有單元測試與敏捷開發之經驗3. 採用CI/CD開發流程4. 4年以上開發經驗
                        "
Web Application 資深後端工程師(Node.js)_台南_21433,緯創資通股份有限公司,台南市歸仁區 ,大學以上,資訊工程學類、資訊管理學類、電機電子工程相關,薪資面議(經常性薪資達4萬元含以上) ,"
                        1. 參與 Scrum team，主動積極與專案團隊協同實作並完成專案範疇與需求 2. RESTful API 設計及實作，並且進行新技術研究和分享 3. 需負責產品架構設計並 Lead 相關專案的執行
                        ", ,"
                        專業能力  - 熟悉RESTful API與MVC實作經驗，具備Node.js開發經驗尤佳 - 熟悉Koa、 Express等任一 Frameworks尤佳 - 具備軟體工程相關技術(Object-oriented ,Design Patterns, Micro Service)  - 熟悉資料庫的設計與使用，包括但不限於NoSQL或RDBMS 關聯式資料庫與In-Memory DB  - 熟悉 Git 並理解 Git Flow 或 GitHub Flow或GitLab Flow - 具備CI/CD DevOps與Agile軟體開發流程的經驗和方法尤佳  - 具備Linux開發環境與佈建設定的經驗和方法尤佳  - 具備撰寫單元測試程式、end-to-end test的經驗和方法尤佳  - 具備TCP/IP , HTTPS/HTTP 等Network 架構設計經驗和方法尤佳  語文要求  -TOEIC 450分以上  加分條件  - 熟悉Kafka, Hadoop尤佳 - 具備持續重構，維護軟體品質能力  - 有線上個人作品集，能呈現出過往經歷和技術能力尤佳
                        "
人工智慧應用後端工程師/專員 - J1773,廣達電腦股份有限公司,桃園市龜山區 ,大學,醫藥工程學類、電算機相關、資訊管理學類,薪資面議(經常性薪資達4萬元含以上) ,"
                        1.廣達人工智慧實驗室相關web專案後端開發。2.具備解決問題的能力，及良好團隊合作與溝通能力。3.工作待遇/職稱：將依學經歷進行敘薪
                        ",TOEIC,"
                        1.需具備3年以上後端開發經驗。2.使用python開發RESTful API，Flask尤佳。 3.熟悉SQL語法 ，MySQL尤佳。 4.Linux和Docker相關指令、具有Microservice觀念。 5.了解版本控制Git及WEB開發流程。Plus:CI / CD、Kubernetes、PyTorch
                        "
總部數位-後端工程師(台北內湖區),喬山健康科技股份有限公司,台北市內湖區 ,大學以上,不拘,薪資面議(經常性薪資達4萬元含以上) ,"
                        1. Backend system development and design.2. Database schema design and maintenance.3. Familiar with source code control and CI/CD processes4. Familiar with AWS in EC2, S3, ELB, RDS, WAF, Redis...etc.5. Familiar with IOT service and RESTful API.=====================================================健身產業因疫情出現結構性變化，家用產品搭配線上課程需求驟增，喬山大步跨向數位時尚健身風潮。詳情請參考官方網站：https://www.johnsonfitnesslive.com
                        ",伺服器及管理：AWS,"
                        1. 3+ years of backend development experience.2. Like to learn new software and backend technology.3. Familiar with system architecture design.4. Familiar with Docker or K8S.※具網路工作經驗，優先錄用。
                        "
Web Application 資深後端工程師(Java)_台南_21433,緯創資通股份有限公司,台南市歸仁區 ,大學以上,資訊工程學類、資訊管理學類、電機電子工程相關,薪資面議(經常性薪資達4萬元含以上) ,"
                        1. 參與 Scrum team，主動積極與專案團隊協同實作並完成專案範疇與需求 2. RESTful API 設計及實作，並且進行新技術研究和分享 3. 需負責產品架構設計並 Lead 相關專案的執行
                        ", ,"
                        專業能力  - 熟悉RESTful API與MVC實作經驗，具備Java SE/ Java EE Web Application開發經驗尤佳 - 熟悉Spring, ORM(JPA, Hibernate) 等任一 Frameworks尤佳 - 具備軟體工程相關技術(Object-oriented ,Design Patterns, Micro Service)  - 熟悉資料庫的設計與使用，包括但不限於NoSQL或RDBMS 關聯式資料庫與In-Memory DB  - 熟悉 Git 並理解 Git Flow 或 GitHub Flow或GitLab Flow - 具備CI/CD DevOps與Agile軟體開發流程的經驗和方法尤佳  - 具備Linux開發環境與佈建設定的經驗和方法尤佳  - 具備撰寫單元測試程式、end-to-end test的經驗和方法尤佳  - 具備TCP/IP , HTTPS/HTTP 等Network 架構設計經驗和方法尤佳 語文要求  -TOEIC 450分以上  加分條件  - 熟悉Kafka, Hadoop尤佳。  - 具備持續重構，維護軟體品質能力。  - 有線上個人作品集，能呈現出過往經歷和技術能力尤佳
                        "
